iter_num,train_n_cut,train_reconstruction,train_loss,val_n_cut,val_reconstruction,val_loss
0,3000.0,697.7871704101562,3.697787284851074,3000.0,697.6087036132812,3.6976101398468018
1000,1844.3123779296875,292.07696533203125,2.1363894939422607,1833.9849853515625,295.67138671875,2.1296563148498535
2000,1154.920166015625,291.999755859375,1.4469190835952759,1149.2235107421875,293.4813232421875,1.4427051544189453
3000,1964.010498046875,260.8747253417969,2.2248833179473877,1959.5223388671875,267.9153137207031,2.2274367809295654
4000,731.8267822265625,259.38092041015625,0.9912080764770508,734.8263549804688,262.9321594238281,0.9977594017982483
5000,1029.0198974609375,263.5203857421875,1.2925405502319336,969.7775268554688,265.306884765625,1.2350846529006958
6000,1979.26416015625,259.62725830078125,2.238892078399658,1987.401611328125,268.2471923828125,2.2556498050689697
7000,1059.667236328125,257.6716613769531,1.3173400163650513,1108.8154296875,259.9138488769531,1.3687291145324707
8000,544.7975463867188,262.8242492675781,0.807621419429779,575.2275390625,261.00274658203125,0.8362308144569397
9000,2006.5025634765625,263.53509521484375,2.270036458969116,2006.302734375,264.12103271484375,2.2704219818115234
10000,611.5029907226562,283.45745849609375,0.894960343837738,613.4493408203125,283.1642150878906,0.8966142535209656
11000,1145.8048095703125,265.2188415527344,1.4110246896743774,1150.854736328125,271.2705078125,1.4221242666244507
12000,2007.0557861328125,263.1597595214844,2.2702152729034424,2007.896484375,266.7044372558594,2.274601459503174
13000,1139.7802734375,259.6928405761719,1.399472951889038,1141.98828125,263.0523376464844,1.4050408601760864
14000,372.5461120605469,259.89947509765625,0.6324453353881836,369.4001159667969,264.6027526855469,0.6340022087097168
15000,1131.126220703125,258.6293640136719,1.3897539377212524,1131.181640625,262.9465026855469,1.394127607345581
16000,318.4485168457031,261.0485534667969,0.5794966220855713,314.9328918457031,262.5889587402344,0.5775212645530701
17000,2005.3232421875,259.820068359375,2.265143871307373,2005.575927734375,262.4688415527344,2.2680447101593018
18000,2004.79931640625,259.0132751464844,2.2638139724731445,2005.3779296875,262.70513916015625,2.2680823802948
19000,2003.5635986328125,255.0249481201172,2.2585885524749756,2003.6644287109375,262.0772705078125,2.265742540359497
